<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>,,,<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>,,first,high,low,close
Gold.Coin.9712,20180630,2952101,2967999,2851000,2922602,43517547600,14890,485,D,2871416,2885601,,,Lotus.Gold.Com.ETF,20180630,23499,23939,22800,23216,2.6375E+11,11360891,1345,D,23487,23051,,125.626665,123.9817453,125.0438596,125.8874052
Gold.Coin.9712,20180627,2960000,2960000,2850002,2871416,34284709820,11940,270,D,2981542,2857000,,,Lotus.Gold.Com.ETF,20180627,23990,23990,23233,23487,50532611434,2151542,777,D,23911,23235,,123.3847436,123.3847436,122.6704257,122.2555456
Gold.Coin.9712,20180626,3050000,3050000,2930000,2981542,45945560020,15410,457,D,2963794,2973980,,,Lotus.Gold.Com.ETF,20180626,24090,24120,23400,23911,3.6116E+11,15104397,1622,D,23397,23860,,126.6085513,126.4510779,125.2136752,124.6933211
Gold.Coin.9712,20180625,2850000,3094990,2850000,2963794,47331792190,15970,449,D,2828149,3050000,,,Lotus.Gold.Com.ETF,20180625,22802,24088,22300,23397,3.74479E+11,16005689,1812,D,22560,23901,,124.989036,128.4867984,127.8026906,126.6741035
Gold.Coin.9712,20180624,2910000,2950000,2777999,2828149,84844463320,30000,664,D,2766778,2930000,,,Lotus.Gold.Com.ETF,20180624,22056,22950,22050,22560,2.76999E+11,12278404,1614,D,21752,22820,,131.9368879,128.540305,125.9863492,125.3612145
Gold.Coin.9712,20180623,2660000,2789462,2660000,2766778,42470043850,15350,491,D,2535875,2765000,,,Lotus.Gold.Com.ETF,20180623,21199,22102,20444,21752,1.4979E+11,6886211,1460,D,20503,21498,,125.4776169,126.2085784,130.1115242,127.1964877
Gold.Coin.9712,20180620,2540000,2548000,2527100,2535875,42577351170,16790,272,D,2516885,2543000,,,Lotus.Gold.Com.ETF,20180620,20505,20639,20450,20503,1.59366E+11,7772607,670,D,20348,20453,,123.8722263,123.4555938,123.5745721,123.6831195
Gold.Coin.9712,20180619,2541999,2541999,2506000,2516885,51143114260,20320,286,D,2518706,2530000,,,Lotus.Gold.Com.ETF,20180619,20397,20450,20200,20348,2.20959E+11,10859211,729,D,20329,20381,,124.6261215,124.3031296,124.0594059,123.692009
Gold.Coin.9712,20180618,2530000,2548000,2485000,2518706,33851408480,13440,442,D,2346478,2496000,,,Lotus.Gold.Com.ETF,20180618,19910,20550,19910,20329,1.91104E+11,9400522,953,D,19309,20250,,127.0718232,123.9902676,124.8116524,123.8971912
Gold.Coin.9712,20180617,2329725,2400000,2329724,2346478,61149216900,26060,410,D,2588582,2393000,,,Lotus.Gold.Com.ETF,20180617,19151,19600,19000,19309,2.07088E+11,10725049,1115,D,20855,19600,,121.6503055,122.4489796,122.6170526,121.5225025
Gold.Coin.9712,20180613,2573000,2640000,2510001,2588582,59071440440,22820,691,D,2537705,2515000,,,Lotus.Gold.Com.ETF,20180613,20800,21130,20300,20855,3.36901E+11,16154673,1623,D,20309,20400,,123.7019231,124.9408424,123.6453695,124.1228482
Gold.Coin.9712,20180612,2487000,2598999,2487000,2537705,37050494550,14600,535,D,2446863,2554000,,,Lotus.Gold.Com.ETF,20180612,20000,20695,19610,20309,3.15028E+11,15511598,1467,D,19552,20302,,124.35,125.585842,126.8230495,124.9546999
Gold.Coin.9712,20180611,2480000,2482000,2373104,2446863,79058153510,32310,638,D,2372154,2482000,,,Lotus.Gold.Com.ETF,20180611,19500,19990,19000,19552,2.88176E+11,14738808,2210,D,19024,19400,,127.1794872,124.162081,124.9002105,125.14643
Gold.Coin.9712,20180610,2307497,2429998,2307497,2372154,63431405900,26740,751,D,2257070,2410000,,,Lotus.Gold.Com.ETF,20180610,18787,19384,18730,19024,2.76467E+11,14532864,1844,D,18333,19350,,122.8241337,125.3610194,123.1979178,124.692704
